row_no,project_code,activity_field,organisation_name,city,grant_amount_eur,list_type
14,2026-1-TR01-KA121-VET-000427218,Mesleki Eğitim Alanında Erasmus Akreditasyonu,T.C. Tarım ve Orman Bakanlığı Balıkçılık ve Su Ürünleri Genel Müdürlüğü,Ankara,57839.0,Kabul Listesi
15,2026-1-TR01-KA121-VET-000427670,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Elazığ İl Milli Eğitim Müdürlüğü,Elazığ,322856.0,Kabul Listesi
16,2026-1-TR01-KA121-VET-000427827,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Roketsan Roket Sanayii ve Ticaret A.Ş.,Ankara,31760.0,Kabul Listesi
17,2026-1-TR01-KA121-VET-000427836,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Bolu İl Milli Eğitim Müdürlüğü,Bolu,235100.0,Kabul Listesi
18,2026-1-TR01-KA121-VET-000427888,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Erzincan İl Milli Eğitim Müdürlüğü,Erzincan,140030.0,Kabul Listesi
19,2026-1-TR01-KA121-VET-000427975,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Artvin İl Milli Eğitim Müdürlüğü,Artvin,96579.0,Kabul Listesi
20,2026-1-TR01-KA121-VET-000428225,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Ankara Üniversitesi Deniz Hukuku Ulusal Araştırma Merkezi,Ankara,321384.0,Kabul Listesi
21,2026-1-TR01-KA121-VET-000428751,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Şaban Temuge Turizm Mesleki ve Teknik Anadolu Lisesi,Yalova,341551.0,Kabul Listesi
22,2026-1-TR01-KA121-VET-000428771,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Antalya İl Milli Eğitim Müdürlüğü,Antalya,340987.0,Kabul Listesi
23,2026-1-TR01-KA121-VET-000428906,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kastamonu İl Milli Eğitim Müdürlüğü,Kastamonu,296589.0,Kabul Listesi
24,2026-1-TR01-KA121-VET-000428908,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kütahya Ticaret ve Sanayi Odası,Kütahya,107280.0,Kabul Listesi
25,2026-1-TR01-KA121-VET-000428962,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Amasya İl Milli Eğitim Müdürlüğü,Amasya,248776.0,Kabul Listesi
26,2026-1-TR01-KA121-VET-000428993,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Müstakil Sanayici ve İşadamları Derneği,İstanbul,394270.0,Kabul Listesi
27,2026-1-TR01-KA121-VET-000429005,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Erzurum İl Milli Eğitim Müdürlüğü,Erzurum,246980.0,Kabul Listesi
28,2026-1-TR01-KA121-VET-000429027,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Batman İl Milli Eğitim Müdürlüğü,Batman,269119.0,Kabul Listesi
29,2026-1-TR01-KA121-VET-000429639,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İstanbul İl Milli Eğitim Müdürlüğü,İstanbul,386787.0,Kabul Listesi
30,2026-1-TR01-KA121-VET-000430266,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İstanbul Arnavutköy İbrahim Özaydın Mesleki ve Teknik Anadolu Lisesi,İstanbul,160261.0,Kabul Listesi
31,2026-1-TR01-KA121-VET-000430450,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Türkiye Aşçılar ve Şefler Federasyonu,İstanbul,125083.0,Kabul Listesi
32,2026-1-TR01-KA121-VET-000431100,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Bahçelievler Aydın Doğan Ticaret Mesleki ve Teknik Anadolu Lisesi,İstanbul,221211.0,Kabul Listesi
33,2026-1-TR01-KA121-VET-000431725,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Aydın İl Milli Eğitim Müdürlüğü,Aydın,286080.0,Kabul Listesi
34,2026-1-TR01-KA121-VET-000431907,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Gaziantep Ticaret Odası,Gaziantep,22957.0,Kabul Listesi
35,2026-1-TR01-KA121-VET-000431912,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Yalova İl Milli Eğitim Müdürlüğü,Yalova,241314.0,Kabul Listesi
36,2026-1-TR01-KA121-VET-000431990,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Denizli İl Milli Eğitim Müdürlüğü,Denizli,172857.0,Kabul Listesi
37,2026-1-TR01-KA121-VET-000432020,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Tunceli İl Milli Eğitim Müdürlüğü,Tunceli,244222.0,Kabul Listesi
38,2026-1-TR01-KA121-VET-000432078,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Sivas İl Milli Eğitim Müdürlüğü,Sivas,180138.0,Kabul Listesi
39,2026-1-TR01-KA121-VET-000432099,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Edirne İl Milli Eğitim Müdürlüğü,Edirne,225214.0,Kabul Listesi
40,2026-1-TR01-KA121-VET-000432237,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Ankara Turizm Mesleki ve Teknik Anadolu Lisesi,Ankara,260564.0,Kabul Listesi
41,2026-1-TR01-KA121-VET-000432242,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İzmir İl Milli Eğitim Müdürlüğü,İzmir,415788.0,Kabul Listesi
42,2026-1-TR01-KA121-VET-000432419,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Hakkari İl Milli Eğitim Müdürlüğü,Hakkari,73824.0,Kabul Listesi
43,2026-1-TR01-KA121-VET-000432516,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Adıyaman İl Milli Eğitim Müdürlüğü,Adıyaman,258855.0,Kabul Listesi
44,2026-1-TR01-KA121-VET-000432617,Mesleki Eğitim Alanında Erasmus Akreditasyonu,TÜBİTAK Uzay Teknolojileri Araştırma Enstitüsü,Ankara,52210.0,Kabul Listesi
45,2026-1-TR01-KA121-VET-000432945,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Antalya Manavgat Şule Muzaffer Büyük Kız Mesleki ve Teknik Anadolu Lisesi,Antalya,430959.0,Kabul Listesi
46,2026-1-TR01-KA121-VET-000433092,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Aksaray İl Milli Eğitim Müdürlüğü,Aksaray,118084.0,Kabul Listesi
47,2026-1-TR01-KA121-VET-000433883,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Bursa Osmangazi Ali Osman Sönmez Mesleki ve Teknik Anadolu Lisesi,Bursa,129218.0,Kabul Listesi
48,2026-1-TR01-KA121-VET-000434031,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kayseri İl Milli Eğitim Müdürlüğü,Kayseri,249720.0,Kabul Listesi
49,2026-1-TR01-KA121-VET-000434216,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Diyarbakır İl Milli Eğitim Müdürlüğü,Diyarbakır,260658.0,Kabul Listesi
50,2026-1-TR01-KA121-VET-000434245,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Bursa İl Milli Eğitim Müdürlüğü,Bursa,464218.0,Kabul Listesi
51,2026-1-TR01-KA121-VET-000434485,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Mardin İl Milli Eğitim Müdürlüğü,Mardin,275537.0,Kabul Listesi
52,2026-1-TR01-KA121-VET-000434561,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Bozüyük Mesleki ve Teknik Anadolu Lisesi,Bilecik,157130.0,Kabul Listesi
53,2026-1-TR01-KA121-VET-000434633,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Ankara İl Milli Eğitim Müdürlüğü,Ankara,468174.0,Kabul Listesi
54,2026-1-TR01-KA121-VET-000434723,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Akçakoca Turizm Mesleki ve Teknik Anadolu Lisesi,Kocaeli,277314.0,Kabul Listesi
55,2026-1-TR01-KA121-VET-000434830,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Düzce İl Milli Eğitim Müdürlüğü,Düzce,164067.0,Kabul Listesi
56,2026-1-TR01-KA121-VET-000434841,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kırıkkale İl Milli Eğitim Müdürlüğü,Kırıkkale,99128.0,Kabul Listesi
57,2026-1-TR01-KA121-VET-000434899,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kilis İl Milli Eğitim Müdürlüğü,Kilis,278210.0,Kabul Listesi
58,2026-1-TR01-KA121-VET-000434913,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Bilecik İl Milli Eğitim Müdürlüğü,Bilecik,255858.0,Kabul Listesi
59,2026-1-TR01-KA121-VET-000435210,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Uşak İl Milli Eğitim Müdürlüğü,Uşak,277133.0,Kabul Listesi
60,2026-1-TR01-KA121-VET-000435360,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Nevşehir İl Milli Eğitim Müdürlüğü,Nevşehir,200500.0,Kabul Listesi
61,2026-1-TR01-KA121-VET-000435561,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Bartın İl Milli Eğitim Müdürlüğü,Bartın,124200.0,Kabul Listesi
62,2026-1-TR01-KA121-VET-000435735,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Sakarya İl Milli Eğitim Müdürlüğü,Sakarya,271563.0,Kabul Listesi
63,2026-1-TR01-KA121-VET-000435765,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Giresun İl Milli Eğitim Müdürlüğü,Giresun,131636.0,Kabul Listesi
64,2026-1-TR01-KA121-VET-000435783,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kahramanmaraş İl Milli Eğitim Müdürlüğü,Kahramanmaraş,269167.0,Kabul Listesi
65,2026-1-TR01-KA121-VET-000435793,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Samsun İl Milli Eğitim Müdürlüğü,Samsun,301823.0,Kabul Listesi
66,2026-1-TR01-KA121-VET-000435819,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Muş İl Milli Eğitim Müdürlüğü,Muş,65490.0,Kabul Listesi
67,2026-1-TR01-KA121-VET-000435855,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Tokat Mesleki ve Teknik Anadolu Lisesi,Tokat,351613.0,Kabul Listesi
68,2026-1-TR01-KA121-VET-000435866,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İstanbul Arnavutköy İstanbul Havalimanı Mesleki ve Teknik Anadolu Lisesi,İstanbul,119959.0,Kabul Listesi
69,2026-1-TR01-KA121-VET-000435869,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Gölcük Şehit Volkan Tantürk Mesleki ve Teknik Anadolu Lisesi,Kocaeli,396461.0,Kabul Listesi
